,CONTENT,CLASS
288,reach subscriber go round public pouring bucket ice water people running away acting like like people see,1
289,youtube money,0
290,billion shit,0
291,billion view million share,0
292,hi guy name dylan girl football video subscriber think guy would like content come check subscribe,1
293,get subscriber tomorrow epic hunger game video,1
294,follower please we facebook com list,1
295,billion view wow even baby justin bibs much deserve capitalized name,0
296,reach subscriber jazz self friend,1
297,please help go college guy thanks bottom heart we indie go com project want go college a,1
298,we facebook com schooled units photo a a jew knox damn a a snap the eur a up in of page ills div zug my linux fth your its zorro qty a a of vice org get list on who gib levy in to size when jusvhufpglqrzczl alpha web a dec a etc jumbo vfxwcjzyvwobihrngx owing pm even eyed a by of spend xiv buzz bps type amp theatre,1
299,awesome smart subscribe,1
300,follow follow valid eustatic like like,1
301,hackfbaccountlive com ref pay news cal,1
302,we facebook com nicks hobby add see it it,1
303,in sorry spam name jenny go high school everyone dress fashionable need money buy cute clothes low self esteem live dad mon passed away really mother figure brother older since boy get attention alone really want wear pretty clothes like girl school get boyfriend self in quite shy school confidence talk someone one friend name caroline moved away in alone could donate money would great care expensive brand ill shop walmart pretty clothes also wanna get nail done salon see lot girl french tip never nail salon really appreciate get hair curled we found me com dressprettyonce thanks org please,1
304,hate song,0
305,please throw sub channel,1
306,new goal let go,0
307,go channel a want see fly getting burned alive,1
308,came check view a,0
309,come check new youtube chanel going posting daily,1
310,have absolutely idea saying even language,0
311,please check videos guy,1
312,still day wonder video popular illuminati confirmed,0
313,hey guy check channel ply mine craft video let shoot sub,1
314,getting old,0
315,please subscribe,1
316,came check view count,0
317,check music video fungo a la la remix hyper re co a it,1
318,check music video please subscribe fungo a la la remix hyper re co a it,1
319,we market glory com strategy game lord operas,1
320,shitty chinese government block youtube close billion view right,0
321,world record youtube video view cd,0
322,think drunk a,0
323,limit sun exposure driving eliminate hassle swing car visor windshield window we kick starter com project visor win,1
324,sarah junk always laugh part low,0
325,hackfbaccountlive com ref,1
326,wanted know name guy dance anybody know,0
327,we facebook com fair queen pref story,1
328,hama funny see salt westerner top view youtube go video done even understand keep salt,0
329,follow company twitter thanks twitter com thewaxedhatco,1
330,imagine guy put a sense view a could pay or mortgage,0
331,hey come check a new youtube let a know think forget subscribe thanks,1
332,girl train dancing outfit fucking sexy huge turn lacked eyebrow,0
333,look picture difficult image re image re image re image re image re image re image re image re image re image re image re image re image re image re image re image re image re image re image re image re,1
334,mind checking view,0
335,hey guy check youtube channel know hate comment like one promise check video entertaining shotgun montage ninja defuse montage trolling please guy check thanks good day,1
336,everyone joking hacked get billion view certain amount people whatever actually buy view,0
337,we facebook com tofikmiedzynb photo type amp theatre,1
338,we facebook com beacon post comment id amp offset amp total comment please like frigga marius gabriel comment,1
339,we being com explore reward publ refer friend amp area raw amp grid of a a a of a ede a a being reward earn free money a cant get or virus blue,1
340,please buy new christmas shirt buy time december the sold worldwide miss tee spring com tree christmas,1
341,free apps get credits click link download app done link free apps com share urls of a,1
342,song like view michael jackson sch,0
343,something dance even sad dance pay gang am style a youth zip a of,0
344,everyone back look almost year old people still hear cd,0
345,billion view planet low,0
346,watching,0
347,subscribe call duty kids give always goal sub,1
348,hi guy please android photo editor download thanks play google com store apps detail id com but labs photo editor,1
349,first billion viewed thought really cool billion half came see stupid first billion,0
