,CONTENT,CLASS
143,watchvarkglzjqup like comment share video em win ytma,1
144,check video youtubebr br eminem amazing,1
145,awesome song ever,0
146,love,0
147,long paragraph check song called quotfirequot,1
148,check video youtube,1
149,check video youtube eminem ft rihanna love way lie,1
150,guy know there part two song,0
151,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check memory ferirama besloor shame eggmode wazzasoft sasaroo reiltas moderock plifal shorogyt value scale qerrassa qiameth mogotrevo hoppler parede yboiveth drirathiel,1
152,hey charlie lost,0
153,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wazzasoft industry sertave wind tendency order humor unelind operation feandra chorenn oleald claster nation industry roll fuffapster competition ociramma quality,1
154,check video youtube,1
155,gu song one worst fear life someone abusive towered live,0
156,watch youtube video quoteminem ytma artist yearquot plz share vote,1
157,made five year ago people still dont understand message song conveying dont understand domestic violence game woman like fictional one video exist living life man abuse still chooses stay love sexual feeling give quite sad actually,0
158,year still dont get music video help someone,0
159,please check new song music video ad dont play,1
160,tell u title like subscribe music fgw please,1
161,video kinda close million view br,0
162,fuck eminem,0
163,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check metal drew reflective effect expansion intervene hilarious bit sneeze witness smoke,1
164,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check innocent woman prioritize desire flight search sad polish tax zip omniscient record,1
165,year pop,0
166,sorry eminmem worthless wife beating bastard,0
167,eminem king rap micheal jackson king pop also wanna go hard wanna person first class fame check authenticviewscom famous within day yo,1
168,spousal abusue cool thats great,0
169,megan foxbecause similar,0
170,holy crap view,0
171,eminem rihanna,0
172,love song,0
173,nicei,0
174,like song much,0
175,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check flimsy slip facilitate manager noise set goal anxious regret actually loss retrieve smile,1
176,love mom,0
177,watching like,0
178,please check new song music video ad dont play,1
179,amazing song,0
180,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wood photograph husky breath act retain delightful system rhythm fabricates scintillating harbor,1
181,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check cook officiates tax walk judge amount ink train valuable increase,1
182,check eminem amp kid cudi h watchvxytcqnzmua,1
183,like,0
184,yo guy sorry annoys check channel latest video like subscribe would nice,1
185,past christmas dad passed away help cope picked pen paper started write little know nearly month ago would bring im today k subscriber k video view wrote released song yesterday friend mine tried commit suicide several time cant promise professionally produced music promise real lyric click picture thanks thumb others may see,1
186,name george let tell u eminem idol inspiration ive listen growing never thou would love rap much thank helping find dream rap make youtube video yesterday covered song mockingbird channel worked really hard one favorite song please go check subscribe would mean world n sorry spam dont hate im eminem,1
187,love way lie featuring rhianna he awesome rapper shes awesome singer,0
188,eminem insperasen fav,0
189,eeeveryone could check channel dundundunnn,1
190,every collaboration know number,0
191,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check answer rehabilitate blushing limit push depreciateds steel beautiful selection edit range,1
192,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check view disclose macho lift letter frame thundering cause talk prevent conscious memory,1
193,good music,0
194,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check jelly activates reflective distribution normal top synthesizes opinion victorious plant entertains language,1
195,need youtube subscriber mail hermann buchmair fb,1
196,bad realtionship like lol,0
197,video deserves bbb view,0
198,,0
199,best song ever,0
200,could hear year,0
201,still watching,0
202,wish guy wasnt protective geeze,0
203,super rihanna,0
204,check channel,1
205,know maybe one read please type quotdeazyquot im rapper dream know must see like million everyday please check music subscribe youd like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless,1
206,rihanna beautiful amazing love much forever riri fan,0
207,fav,0
208,hey guy ignore please give chance name yuliya make cover started getting serious youtube september thats great challenge dream become singer youtube help keep please give chance thumb comment people see swear ill appreciate subscribe please love xoxo,1
209,check video youtube,1
210,every single one song brings back place never go back hurt bad inside,0
211,love song eminem rap god,0
212,sneakiestg good music hood muzik subscribe channel thanks support sneakiestg sneakiestg good music hood muzik subscribe channel thanks support sneakiestg,1
213,cried song bringing back hard memory,0
214,subcribe u subscribe back,1
215,song bad,0
216,check cover love way lie please,1
217,check fantasy music right gt thefantasy good music man,1
218,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check war illustrate exclusive space mountain refers helpless death tax review special music,1
219,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check loud authority improves canvas mother repair uppity learning substantial cook derives harbor,1
220,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check burst render symptomatic bite knowledge brief narrow thought eager sky transmit crush,1
221,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check mammoth waste achieve shock limit reduce delicate minute meaty scale adapt oil,1
222,charlie lost,0
223,hell song already five year old remember first came jam,0
224,check channel im year old rapper,1
225,megan fox,0
226,wtf subscribe channel thanx,1
227,hey check channel please,1
228,he admitting killed girlfriend,0
229,check tube keithlinscotts one word keithlinscotts tube com,1
230,check mummy chanel,1
231,want smack year boy forever,0
232,charlie heroin,0
233,fruit vegetable give longer lasting energy weight loss check youtubecomuserloseweight,1
234,love song,0
235,megan fox gorg eminem truly rap god,0
236,rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix click subscribe,1
237,check video youtube,1
238,get view le subscriber lol,1
239,go check eminem survival,1
240,hey im year old rapper texas dont rap quotpmwquot promise music disappoint search therealchrisking find listen track quotmemory lanequot released rd mixtape quotcrown mequot far ive nothing good review im asking like subscribe view help catch dream could leave comment letting know think would much appreciated also thank,1
241,eminem get penny per view would million dollar,1
242,check leandrus playtime awesoooome,1
243,check video youtube,1
244,know maybe one read please type quotdeazyquot im rapper dream know must see like million everyday please check music subscribe youd like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless,1
245,dress like rihanna kpopcitynet largest discount fashion store world check quothollywood collectionquot dress like favourite star dress like rihanna kpopcitynet largest discount fashion store world check quothollywood collectionquot dress like favourite star,1
246,check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere,1
247,amazing song,0
248,,0
249,charlie lost,0
250,subscribe pls eminem fan,1
251,dude check psy,1
252,love thisthe talent eminem skylarworks well together,0
253,share video song beat psy gangnam style,1
254,thumb watching like,0
255,check remix tygas molly ft whiz khalifa peace love,1
256,check channel please,1
257,working hard past day improve writingrecordingmixingperforming bar everyday im whole year day today im day today work hard im verse everyday improve im going way please subscribe channel help build fan base watch improvehelp get closer dream im lyrical keep real wont leave promise please subscribe please like commment people see,1
258,cant believe watched brand new adult video clip rihanna screwing black basketball player check video right wish crazycelebnewseupn,1
259,check video subscribe like plzz,1
260,never get old best song ever,0
261,first fighting making,0
262,know maybe one read please type quotdeazyquot im rapper dream know must see like million everyday please check music subscribe youd like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless,1
263,hey guy please spent one minute im singer srilanka im year old sooo like great singer one day hope would happen really life view video rate let know voice please help u guy closer living dream really know youd helped read comment heshe understand feeling thanks guy lv u really much subscribe channel onece thank u,1
264,yo guy im year old rapper started rapping please check site leave feedback subscribe also like comment see make channel big aswell,1
265,check video youtube,1
266,rap fan check big pun beware cover like n comment much appreciated,1
267,love song moon gt rock,0
268,hello azerbaijanbr,0
269,great warning happen soon lneadwbfstvhkjlpxaeyvmnlvmriudtsfkvyali paatcroatia ltlneadwbfvkahxpkenmfywkyxthsuprijuqsznug belrustnice onelneadwbftvzqtjuehasiefrjgexidvqdnqvphoexode comebacktm viewslneadwbfunoaragawgutjoazdkfiuntzhymuhammad shaeel abbastfuck offlneadwbftotoufjzvfflfnaxykwzsivqhimxenotorious nikothey guy im yr old rapper trying get exposure live belgium one speaks english resort gay spam check latest track probably best audio isnt best im gonna invest real equipment next track please thumb others see hey dont check leave response like thanks advance guy part making dream come true notorious niko,1
270,hey guy im yr old rapper trying get exposure live belgium one speaks english resort gay spam check latest track probably best audio isnt best im gonna invest real equipment next track please thumb others see hey dont check leave response like thanks advance guy part making dream come true notorious niko,1
271,eminemltbr best rapper everlt,0
272,hate rap,0
273,check channel see rihanna short mix,1
274,every weekend new lyric video eminem view like subscribe,1
275,songvideo trigger good,0
276,check new hot video dante b called riled,1
277,meghan fox,0
278,ayyy u guy please check rap video im n im juss tryna get love please chrck thank u,1
279,come subscribe channel please,1
280,awesome songcongratulations,0
281,come check music channel go check song quotlove mequot jemini amazing person thank check dont check youre still amazing person reading post,1
282,share like page win hand signed rihanna photo fb fan rihanna,1
283,share like page win hand signed rihanna photo fb fan rihanna,1
284,check page adam b beat,1
285,look share video please,1
286,check video youtube,1
287,like amp subscribe watchvtugnl,1
288,charlieee dddd saw lost understand,0
289,lady gtgt broken heart want understand guy better check underground book called power pussy amazon best book ever u girl ohand warning overlol,1
290,coffee lover please read check song wrote sing tube called coffee lovatype coffee lova like spell already tube hit enterthen look video titled coffee lova hit enter blast,1
291,hey guy please subscribe channel im young dedicated rapper post video everyday improve writeperformrecordmixeditpost everyday verse everyday barsto improve im day whole year improve right im day guy please like comment everyone see follow journeywatch improve everyday subscribe please im lyrical keep real help reach dreamhelp build fan basethanks,1
292,many comment,0
293,getting billion view holy moly,0
294,best song,0
295,subscribe make music,1
296,song world even,0
297,hi loving,0
298,subscribe u love eminem,1
299,lol thats guy animal planet lost girl megan fox think hahah,0
300,song true insane boy girl true people say guy never girl boy liers stop treating u girl way suck,0
301,love video,0
302,hello im bulgaria,0
303,u love rihanna subscribe,1
304,eminem rap easy boy,0
305,u love rihanna subscribe,1
306,check music video chanel,1
307,check band page youtube killtheclockhd check original song including quotyour disguisequot,1
308,could guy please check channel hiphop beat,1
309,love song sooooooooooooooo much,0
310,everyone come check new gta gameplay right watchvhmsayho,1
311,check video youtube,1
312,hey guy im cypher im year old rap life recently made second album desire ep please take moment check album youtube thank much reading every like comment subscription count,1
313,eminem love way lie,0
314,hey guy ready cypher back check video youtube new album check music tomorrow thanks reading,1
315,hey guy wouldnt mindcould check boy musicwe made real lyrical songsearch dna andrew guaschi appreciate leave real feedback keep hiphop alive,1
316,girl megan fox,0
317,freaking sad,0
318,hello made one eminem song channel could guy put like please dont need subscribe thanks,1
319,hey guy guy please subscribe channel im young rapper really dedicated post video everyday post verse barspart songeveryday improve im day right im day im whole year without missing one day guy please subscribe follow journey dream watch improve really mean lot thank wont let promise im lyrical keep real,1
320,hey me im young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
321,like lyric music video,0
322,hope everyone good spirit im hard working student who also passionate singer look foward day make music share ive cover check channel ive done cover miley cyrus imagine dragon lana del rey drake macklemore pink countless others subscribe want goal isnt become famous inspire fyi isnt spamming everyone right freedom speech thanks,1
323,check channel rap hip hop music,1
324,br,0
325,adam b beat check page,1
326,relnofollow classothashtag relnofollow classothashtag relnofollow classothashtag eminem love way lie ft rihanna,1
327,im me aspiring young rapper high hope know click link check channel dont want well choice fact know dont click,1
328,looooved,0
329,need get billion view,0
330,hey everyone please take moment read work as hoping make music industry hard get people hear dont money advertisement exposure young artist dream goal like everybody else please take second visit channel dont like give chance prove talent also please take second life thumb comment would super helpful,1
331,amazing,0
332,almost billion,0
333,great song,0
334,please check video called quotwe love mind master itquot thanks,1
335,okay trust im favor need check guy named columbus nelson youtube,1
336,agree damn spammer suck im trying get known know feeling help leave like comment page hope could maybe subscribe would awesome thanks,1
337,adam b beat check page,1
338,check lyric watchvyuttxoyqq,1
339,dont understand song passion woman feel like im losing mind dont understand idea loving way someone lie,0
340,please read hey everyone im year old student love sing record upload cover channel would love could check give chance dont thumb subscribe like hear listen id really appreciate thank time,1
341,anybody else,0
342,hi im lil check love way lie live performance many others video lyric thanks,1
343,im subscribing comment great,1
344,like mmph version better,0
345,terrance thank serving country quotlike youquot quotsubscribequot,1
346,thumb listen,0
347,hey everyone check channel leave like subscribe please song want post name comment get thanks,1
348,want make easy money check page tvcmcadavidweebly com dont miss opportunity,1
349,hi everyone duo starting record freestyle put youtube could check likecomment would mean much u love may best recording equipment listen lyric rhyme think youll like please subscribe share love making video want like much possible feel free comment give u pointer thank,1
350,lady check link youll find hottest hairstyle latest trend woman go site youll upgrade hairstyle fashion sens higher level dont get left behind gt googlbxrosr,1
351,hi bangladesh,0
352,megan fox,0
353,fire,0
354,eminem fan check new song quotfeelin goodquot jdp click quotghostpoetquot link post thank,1
355,hi guy im upcoming rapper could check channel tell think maybe subscribe like would really appreciate hater welcome thanks,1
356,check new video made called quotwe love mind master itquot thank u much,1
357,love way lie,0
358,hey me im young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
359,love way lie ii nicer opinion,0
360,almost billion,0
361,person love real music listen quotcruz supatquotbr awesome fuck eminem used,0
362,also check djj go road recovery,1
363,charlie got island dated megan fox bbut claire,0
364,hi guy check remixes thanx youre great swag,1
365,please check youtube channel uploaded first youtube video please check regret,1
366,eminem best rapper time,0
367,omg guy sound like american professor green,0
368,thumb think billion view,0
369,lemme top comment please,0
370,love song,0
371,favorite song,0
372,tryna work rapper check one already channel,1
373,check berzerk video channel,1
374,super,0
375,eminem new song check video,1
376,check video youtube,1
377,friend wife earns dollar month want wwhore get type wage working home pc taking survey dont believe shitjust yahoo taking money mean legit please like msg get thru vulnerable people like eminem used,1
378,subscribe please guy,1
379,th watched video youtube he subscribed channel youtube recentley surpassing justing bieber le sub away beating taylor swift,1
380,hey me im young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
381,love,0
382,lil check hi live way lie many check subscribe,1
383,hello everyone please check video watchvbwywphic take minute hope dont ask much cant help like amp share video please people see thumb would mean much maybe make dream come true thanks everyone god bless,1
384,watchvaimbwbfqbzg watch subscrible,1
385,love eminem,0
386,love lie good,0
387,still listening,0
388,hey me im young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscriber view first vid ive told potential,1
389,eminem rock,0
390,check youtube video funny cool rap,1
391,hay honesty wright year old love song thank makeing song love song much sometime hart get breaken people kill self go cazzy love much thanks keep go make sure dream comeing rule good luck,0
392,awesome,0
393,lovet,0
394,subscribe like video please,1
395,subscribed btw good style keep brother,1
396,know may want read please im cypher year old rapper skill people said stuff isnt good new stuff good please check current song comment like thank reading rap life,1
397,charlie lost,0
398,eminem best,0
399,usually guy would vote people like actually check channel reminds smaller version mile give guy chance since everyone start somewhere,1
400,,0
401,hello friend young year old rapper trying make something nothingplease take second life check video help reach dream god bless,1
402,beautiful song,0
403,check channel boy girl,1
404,hey guy know annoying getting spammed sorry bout please take moment check channel im rapper decent skill want share music people take listen thumb see,1
405,best rap ever,0
406,lover song,0
407,hey guy know wanna skip please take chance check music im young coming rapper big dream appreciate constructive critisism please look thank time,1
408,love songsbr supper coolbr,0
409,like musicbut anyone listening lyric,0
410,maybe one probably read case put quotthumbs quotso others see started rapping seriously type lunden video simple button help dream come true people ignore dont listen subscribe thank god bless,1
411,,0
412,check channel lyricism,1
413,big sister like,0
414,bad,0
415,love eminem lt,0
416,look like megan fox xd,0
417,hey go channel check dong thanks youtubers,1
418,megan fox,0
419,hate eminem nirvanatrust,0
420,like eminen,0
421,check playlist,1
422,medium evil please see share w w w farrell report net top ex uk police intelligence analyst turned whistleblower tony farrell expose horrific monstrous coverup perpetrated criminal operating crime inside mainstream entertainment medium law firm beware protect child devil brutally target innocent people real criminal linked london attack must see make viral also see uk column video st january,1
423,subscribe channel,1
424,simply rap god,0
425,megan fox xd,0
426,love song,0
427,check new em cover video trailer,1
428,really good song br know love song song,0
429,eminem greatest artist ever touch mic,0
430,love rihanna thailand,0
431,classsic,0
432,sorry spam yall know annoying spare min please check new track channel im upcoming uk rapperplease come check song u might like em worry im sorry wastin time even thumb get noticed really help peace yall,1
433,song like oreo black part good white part better,0
434,guy charley lost tv show,0
435,subscribe channel watchvnxkihkds,1
436,hi im year rapper support guy check channel check song might like also follow twitter mcashim follow back,1
437,hello brazil,0
438,eminem best ever,0
439,hey guy look im aware im spamming piss people please take moment check music im young rapper love wanna share music people click picture see like stuff,1
440,know sean kingston got famous dont look kid hard hit message inbox subscribe check channelsounds fair,1
441,best song ever,0
442,check eminem latest track survival u didnt,1
443,subscribe channel x please spare,1
444,check video guy hope guy good laugh,1
445,yr ago health scare thankfully im okay realized wasnt living life fullest im mission everything ive always wanted found going die tomorrow would happy youve accomplished would regret certain thing sorry spamming im trying motivate people thing theyve always wanted youre bored come see ive done far almost subscriber started,1
446,rihanna look beautiful red hair,0
447,view awesome,0
